annual_inspection_expiration,car_name,cards_unit,cltc_pure_electricity_endurance_mileage,configuration_highlights_text,drive_mode,engine,fuel_type,gearbox,insurance_expiration,price,price_tax,release_time,standard_capacity,standard_fast_charge,standard_slow_charge,transfer_times,vehicle_color,vehicle_level,warranty_expiration
2026-01,小鹏G6 2023款 580 长续航 Max,0.9万公里／2024-01／北京／1年黄金会员,580km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/方向盘加热/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 296马力 ,纯电动,自动,2026-01,15.50,24.96万,2025-03-04,66kwh,0.33小时,-小时,0次（以车辆登记证为准）,银/灰色,中型SUV,-
2025-08,Model Y 2022款 改款 后轮驱动版,3.1万公里／2023-08／北京／1年黄金会员,545km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/方向盘加热/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 264马力 ,纯电动,自动,2025-08,18.50,28.65万,2025-03-04,60kwh,-小时,-小时,0次（以车辆登记证为准）,白色,中型SUV,-
2026-01,海豹 2024款 荣耀版 DM-i 1.5T 121km 旗舰型,0.9万公里／2024-01／北京／1年黄金会员,100km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,前置前驱,1.5T 139马力 L4 ,插电混动,自动,2026-01,13.00,20.93万,2025-03-08,18kwh,-小时,-小时,0次（以车辆登记证为准）,蓝色,中型车,-
2026-09,问界M9 2024款 增程 Max版 42kWh 6座版,2.7万公里／2024-09／北京／1年黄金会员,225km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向头灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,增程式 152马力 ,增程式,自动,2025-09,40.98,51.00万,2025-03-11,42kwh,0.5小时,5小时,0次（以车辆登记证为准）,黑色,大型SUV,-
2025-4,Model Y 2022款 改款 后轮驱动版,1.66万公里／2023-04／北京／10年黑金会员,545km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 264马力 ,纯电动,自动,2025-4,17.98,28.65万,2025-03-12,60kwh,-小时,-小时,0次（以车辆登记证为准）,黑色,中型SUV,-
2025-09,理想L9 2024款 Pro,1万公里／2023-09／北京／6年黄金会员,280km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/220V/230V电源/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,增程式 154马力 ,增程式,自动,2025-09,35.00,44.48万,2025-03-10,52kwh,0.42小时,7.9小时,1次（以车辆登记证为准）,绿色,大型SUV,-
2028-12,Model Y 2022款 改款 后轮驱动版,4.89万公里／2022-12／北京／3年黑金会员,545km,,后置后驱,纯电动 264马力 ,纯电动,自动,2024-12,16.98,28.65万,2025-02-26,60kwh,-小时,-小时,1次（以车辆登记证为准）,黑色,中型SUV,-
2026-03,Polestar 4 2024款 双电机长续航PLUS  双星互联版,1.7万公里／2024-03／北京／3年黄金会员,682km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,纯电动 544马力 ,纯电动,自动,2025-03,20.68,43.41万,2025-03-05,100kwh,0.53小时,17.5小时,0次（以车辆登记证为准）,银/灰色,中大型SUV,-
2026-01,Polestar 4 2024款 单电机标准续航PLUS 双星互联版,2万公里／2024-01／北京／3年黄金会员,668km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,后置后驱,纯电动 272马力 ,纯电动,自动,2026-01,16.88,36.90万,2025-03-05,86kwh,0.53小时,15.5小时,0次（以车辆登记证为准）,银/灰色,中大型SUV,-
2026-6,Taycan 2022款 Taycan 4S,1.9万公里／2022-06／北京／9年钻石会员,407km,胎压监测装置/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/全液晶仪表盘/蓝牙/车载电话/车联网/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,纯电动 530马力 ,纯电动,自动,2025-6,65.50,125.70万,2025-03-12,79kwh,1.55小时,8小时,1次（以车辆登记证为准）,白色,中大型车,-
annual_inspection_expiration,car_name,cards_unit,cltc_pure_electricity_endurance_mileage,configuration_highlights_text,drive_mode,engine,fuel_type,gearbox,insurance_expiration,price,price_tax,release_time,standard_capacity,standard_fast_charge,standard_slow_charge,transfer_times,vehicle_color,vehicle_level,warranty_expiration
2025-6,Cayenne新能源 2021款 Cayenne E-Hybrid 2.0T,5.7万公里／2021-06／北京／9年钻石会员,53km,胎压监测装置/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘换挡/蓝牙/车载电话/车联网/OTA升级/车内PM2.5过滤装置/后排出风口,前置四驱,2.0T 252马力 L4 ,插电混动,自动,2025-6,53.50,94.22万,2025-03-10,18kwh,-小时,-小时,1次（以车辆登记证为准）,黑色,中大型SUV,-
2025-10,宝马iX1 2023款 xDrive30L X设计套装,1.9万公里／2023-10／北京／5年黑金会员,450km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/全液晶仪表盘/HUD抬头数字显示/蓝牙/车载电话/车联网/OTA升级/后排出风口,双电机四驱,纯电动 313马力 ,纯电动,自动,2025-10,15.80,36.90万,2025-02-12,66kwh,0.53小时,7小时,0次（以车辆登记证为准）,白色,紧凑型SUV,-
2026-6,宝马iX1 2023款 xDrive30L X设计套装,1.4万公里／2024-06／北京／5年黑金会员,450km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/全液晶仪表盘/HUD抬头数字显示/蓝牙/车载电话/车联网/OTA升级/后排出风口,双电机四驱,纯电动 313马力 ,纯电动,自动,2025-6,17.60,36.90万,2025-02-17,66kwh,0.53小时,7小时,0次（以车辆登记证为准）,白色,紧凑型SUV,-
2025-3,宝马i7 2023款 xDrive60L 豪华套装,0.6万公里／2023-03／北京／5年黑金会员,650km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/方向盘加热/全液晶仪表盘/HUD抬头数字显示/蓝牙/车载电话/车联网/OTA升级/转向头灯/自适应远近光/车内PM2.5过滤装置/后排独立空调/后排出风口,双电机四驱,纯电动 544马力 ,纯电动,自动,2025-3,81.80,158.37万,2025-02-22,106kwh,0.93小时,10.5小时,0次（以车辆登记证为准）,银/灰色,大型车,-
2026-6,奥迪Q4 e-tron 2024款 40 e-tron 创境版,0.5万公里／2024-06／北京／15年钻石会员,605km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘换挡/全液晶仪表盘/蓝牙/车载电话/车联网/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,后置后驱,纯电动 204马力 ,纯电动,自动,2025-6,16.88,34.42万,2025-02-21,85kwh,-小时,-小时,0次（以车辆登记证为准）,银/灰色,紧凑型SUV,-
2025-08,广汽丰田iA5 2021款 领先版,5.5万公里／2021-08／北京／2年会员,510km,ISOFIX儿童座椅接口/自动驻车/无钥匙启动系统/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/车内PM2.5过滤装置/后排出风口,前置前驱,纯电动 184马力 ,纯电动,自动,2025-08,4.78,18.43万,2025-01-08,59kwh,0.78小时,10小时,1次（以车辆登记证为准）,白色,紧凑型车,-
2026-12,Model 3 2021款 标准续航后驱升级版,4.95万公里／2020-12／北京／2年会员,468km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/倒车影像/全景摄像头/自动驻车/自动泊车入位/定速巡航/无钥匙启动系统/无钥匙进入系统/方向盘换挡/全液晶仪表盘/内置行车记录仪,后置后驱,纯电动 275马力 ,纯电动,自动,2025-12,11.33,28.95万,2025-03-03,55kwh,1小时,10小时,0次（以车辆登记证为准）,红/紫色,中型车,-
2026-10,岚图梦想家 2025款 PHEV 四驱尊贵鲲鹏版,1.1万公里／2024-10／北京／2年黄金会员,235km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/方向盘加热/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/后排独立空调/后排出风口,前置四驱,1.5T 150马力 L4 ,插电混动,自动,2025-10,29.98,39.07万,2025-02-12,42kwh,0.5小时,-小时,0次（以车辆登记证为准）,蓝色,,-
2026-12,小鹏P7+ 2024款 超长续航 Max,0.27万公里／2024-12／北京／2年黄金会员,725km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/方向盘加热/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/后排独立空调/后排出风口,后置后驱,纯电动 313马力 ,纯电动,自动,2025-12,16.98,21.58万,2025-03-07,76kwh,0.33小时,-小时,0次（以车辆登记证为准）,黑色,中大型车,-
2025-04,Model X 2019款 长续航版,6万公里／2019-04／北京／6年黄金会员,575km,并线辅助/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/方向盘加热/全液晶仪表盘/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,双电机四驱,纯电动 537马力 ,纯电动,自动,2025-04,,已降1000元,2025-03-13,100kwh,1小时,10小时,1次（以车辆登记证为准）,蓝色,中大型SUV,-
2024-12,宝马i8 2014款 标准型,2.7万公里／2014-12／北京／11年黄金会员,37km,ISOFIX儿童座椅接口/无钥匙启动系统/方向盘换挡/全液晶仪表盘/HUD抬头数字显示/蓝牙/车载电话/车联网/转向头灯,中置四驱,1.5T 231马力 L3 ,插电混动,自动,2024-12,55.00,195.17万,2025-02-21,7kwh,1.5小时,3.5小时,3次（以车辆登记证为准）,蓝色,跑车,-
2026-01,坦克400新能源 2023款 Hi4-T 超能版,5.7万公里／2024-01／北京／11年黄金会员,105km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/中央差速器锁止/无钥匙启动系统/方向盘换挡/方向盘加热/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/220V/230V电源/OTA升级/自适应远近光/车内PM2.5过滤装置/后排独立空调/后排出风口,前置四驱,2.0T 252马力 L4 ,插电混动,自动,2026-01,23.00,31.46万,2025-03-06,37kwh,0.4小时,6.5小时,0次（以车辆登记证为准）,银/灰色,中大型SUV,-
2026-01,奔驰EQE 2022款 350 豪华版,1.3万公里／2024-01／北京／1年黄金会员,717km,胎压监测装置/并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向辅助灯/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排出风口,后置后驱,纯电动 292马力 ,纯电动,自动,2026-01,24.60,53.84万,2025-02-05,96kwh,0.8小时,13小时,1次（以车辆登记证为准）,银/灰色,中大型车,-
2026-09,问界M7 2024款 1.5T 智驾四驱Ultra版 5座,1.58万公里／2024-09／北京／1年黄金会员,210km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/自适应远近光/车内PM2.5过滤装置/车载空气净化器/后排独立空调/后排出风口,双电机四驱,增程式 152马力 ,增程式,自动,2025-09,25.50,33.63万,2025-03-01,42kwh,0.5小时,5小时,0次（以车辆登记证为准）,蓝色,中大型SUV,-
2025-5,宝马iX3 2022款 改款 领先型,1.5万公里／2023-05／北京／9年钻石会员,550km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/电动后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/蓝牙/车载电话/车联网/OTA升级/转向头灯/自适应远近光/车内PM2.5过滤装置/后排独立空调/后排出风口,后置后驱,纯电动 286马力 ,纯电动,自动,2024-10,17.88,43.96万,2025-02-27,80kwh,0.75小时,7.5小时,1次（以车辆登记证为准）,白色,中型SUV,-
2025-9,宝马iX3 2022款 改款 创领型,1.3万公里／2023-09／北京／9年钻石会员,535km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/感应后备厢/无钥匙启动系统/主动闭合式进气格栅/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向头灯/自适应远近光/车内PM2.5过滤装置/后排独立空调/后排出风口,后置后驱,纯电动 286马力 ,纯电动,自动,2024-9,19.38,48.30万,2025-02-27,80kwh,0.75小时,7.5小时,1次（以车辆登记证为准）,黑色,中型SUV,-
2025-12,宝马iX 2023款 改款 xDrive40,0.28万公里／2023-12／北京／9年钻石会员,471km,并线辅助/车道保持辅助系统/车道偏离预警系统/主动刹车/主动安全系统/ISOFIX儿童座椅接口/自动驻车/自动泊车入位/电动后备厢/无钥匙启动系统/全液晶仪表盘/HUD抬头数字显示/内置行车记录仪/蓝牙/车载电话/车联网/OTA升级/转向头灯/自适应远近光/后排独立空调/后排出风口,双电机四驱,纯电动 326马力 ,纯电动,自动,2024-12,30.88,81.07万,2025-03-12,77kwh,0.68小时,7.5小时,1次（以车辆登记证为准）,蓝色,中大型SUV,-
